epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
76,5996.66,0.21857,0.28341,0.18821,0.79139,0,0.99892,0.99747,0.99499,0.99175,0.99886,0.99742,0.99499,0.96464,0.16138,0.24554,0.09312,0.75834,0,0.00138886,0.00138886,0.00138886
77,6075.86,0.21668,0.28304,0.1866,0.79076,0,0.99888,0.99747,0.99499,0.99177,0.99882,0.99741,0.99499,0.965,0.16124,0.2453,0.09316,0.75832,0,0.00137444,0.00137444,0.00137444
78,6154.99,0.21789,0.28529,0.18711,0.79149,0,0.99888,0.99748,0.99499,0.99177,0.99883,0.99742,0.99499,0.96465,0.16122,0.24524,0.09295,0.75833,0,0.00135994,0.00135994,0.00135994
79,6234.24,0.21795,0.2846,0.18642,0.79143,0,0.99884,0.99753,0.99499,0.99177,0.99879,0.99748,0.99499,0.96462,0.16117,0.2452,0.09279,0.75832,0,0.00134535,0.00134535,0.00134535
80,6312.72,0.21755,0.28602,0.18667,0.79084,0,0.99891,0.99749,0.99499,0.99186,0.99885,0.99743,0.99499,0.96445,0.16093,0.24515,0.09271,0.7583,0,0.00133068,0.00133068,0.00133068
81,6391.84,0.21585,0.28172,0.18467,0.79083,0,0.99913,0.99725,0.99499,0.99177,0.99908,0.99719,0.99499,0.96457,0.16099,0.24512,0.09275,0.75829,0,0.00131593,0.00131593,0.00131593
82,6470.8,0.21791,0.28534,0.18501,0.7915,0,0.99884,0.99752,0.99499,0.99177,0.99878,0.99746,0.99499,0.96453,0.16089,0.24506,0.0926,0.75828,0,0.0013011,0.0013011,0.0013011
83,6549.92,0.21512,0.28254,0.18402,0.79059,0,0.99915,0.99719,0.99499,0.99195,0.99909,0.99713,0.99499,0.96446,0.16098,0.24496,0.09262,0.75828,0,0.0012862,0.0012862,0.0012862
84,6629.18,0.21651,0.28403,0.18394,0.79065,0,0.9992,0.9972,0.99499,0.99188,0.99914,0.99714,0.99499,0.96446,0.16099,0.24488,0.09256,0.75828,0,0.00127123,0.00127123,0.00127123
85,6708.34,0.21572,0.2802,0.18259,0.79117,0,0.99922,0.99721,0.99499,0.99205,0.99916,0.99716,0.99499,0.96458,0.16101,0.24486,0.09252,0.75827,0,0.0012562,0.0012562,0.0012562
